Teilnehmer;Startzeit;Endzeit;Quelle;"Kennen Sie die Bedeutung des Jugendwortes ""goofy""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""goofy"")";"Nutzen Sie das Jugendwort ""goofy"" in Ihrem alltäglichen Sprachgebrauch?";"Kennen Sie die Bedeutung des Jugendwortes ""smash""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""smash"")";"Nutzen Sie das Jugendwort ""smash"" in Ihrem alltäglichen Sprachgebrauch?";"Kennen Sie die Bedeutung des Jugendwortes ""cringe""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""cringe"")";"Nutzen Sie das Jugendwort ""cringe"" in Ihrem alltäglichen Sprachgebrauch?";"Kennen Sie die Bedeutung des Jugendwortes ""lost""?";"Falls Sie zuvor ""ja"" gestimmt haben, geben Sie, wenn möglich, eine kurze Erklärung zur Wortbedeutung. (""lost"")";"Nutzen Sie das Jugendwort ""lost"" in Ihrem alltäglichen Sprachgebrauch?";Wie alt sind Sie?;Wie ist Ihr Geschlecht?;Was ist Ihr höchster Bildungsabschluss?
51;08.12.2023 12:21:34;08.12.2023 12:29:38;Direkter Link;ja;"aus dem englischen; ähnlich wie ""albern"" aber nicht so negativ konnotiert";nein;ja;"Kommt aus dem Kontext ""smash or pass"", eine Art Spiel, bei dem Teilnehmenden Bilder von Prominenten oder Charakteren aus Filmen, Serien oder Büchern gezeigt werden und sie sich dann entscheiden müssen ob sie diese Person attraktiv finden und sich vorstellen könnten mit ihr sexuell aktiv zu werden ('smash') oder nicht ('pass')";nein;ja ;"unangenehm; peinlich, unangemessen. Insbesondere, wenn eine Person etwas peinliches tut und sich dabei nicht bewusst ist, dass das, was sie tut peinlich ist, z.B.
(besser als die Tagesschau kann man es eigentlich nicht erklären)";ja;ja;verloren, bezogen v.a. auf den mentalen Zustand. Jemand, der keine Ahnung hat, was er tut, oder etws völlig falsch macht, ist 'lost';nein;25;Weiblich;Bachelor
52;09.12.2023 21:05:43;09.12.2023 21:11:31;Direkter Link;ja;beudertet soetwas wie albern, lustig oder deppert;ja;ja;smash heißt halt wortwörtlich bumsen. also sagt man damit man würde. ist aber nicht immer so voll ernst gemeint;ja;ja ;unangenehm oder Fremdscham;ja;ja;Heißt das jemand grad gar keinen Plan hat in einer Situation.;ja;18;Weiblich;Realschulabschluss
53;09.12.2023 21:14:07;09.12.2023 21:28:01;Direkter Link;ja;Schräg/lustig unterwegs ;ja;ja;Zu jmd: man findet die person hübsch/ man würde etwas mit ihr anfangen/bumsen;ja;ja ;Unangenehm ;ja;ja;Verwirrt/verloren;ja;18;Weiblich;Realschulabschluss
54;10.12.2023 12:53:22;10.12.2023 12:54:02;empirio;ja;übersprungen;nein;ja;übersprungen;ja;ja ;übersprungen;ja;ja;übersprungen;ja;24;Weiblich;Fachhochschulreife
55;11.12.2023 09:26:49;11.12.2023 09:28:43;empirio;ja;"rap
hael
";nein;ja;sax;ja;ja ;"raphael
";ja;ja;"xcfl
";ja;119;Divers;Promotion
56;11.12.2023 09:26:52;11.12.2023 09:28:59;empirio;ja;"rap
hael
";nein;ja;sax;ja;ja ;"raphael
";ja;ja;"xcfl
";ja;119;Divers;Promotion
57;11.12.2023 16:47:32;11.12.2023 16:54:32;empirio;nein;übersprungen;nein;ja;Jemanden als potentiellen Partner attraktiv finden ;nein;ja ;Etwas ist peinlich, ungewöhnlich (im negativen Sinn);nein;ja;Jemand kennt sich nicht aus oder ist überfordert;nein;24;Weiblich;Allgemeine Hochschulreife
58;11.12.2023 20:43:44;11.12.2023 20:46:57;empirio;ja;lustig. wenn einer was witziges macht oder lustig drauf ist. du bist goofy bro!;nein;ja;smash ist so wie knallen. ich will sie smashen. intim;nein;ja ;wenn was komisch ist. kann auch eine person sein. Person xy ist cringe;ja;ja;wenn jemand voll verpeilt ist oder nicht weiß, was er oder sie zu tun hat. ;ja;24;Männlich;Allgemeine Hochschulreife
59;13.12.2023 14:44:28;13.12.2023 14:52:32;empirio;ja;albern;nein;ja;"Stammt vom game smash or pass. Man würde etwas mit genannter Person anfangen
";nein;ja ;Eine Situation/Sache/Person etc als unangenehm/peinlich empfinden ;nein;ja;Man fühlt sich verloren, ist verwirrt, nicht bei der Sache ;nein;24;Weiblich;Allgemeine Hochschulreife
60;13.12.2023 20:51:52;13.12.2023 20:53:18;Direkter Link;ja;übersprungen;nein;ja;übersprungen;nein;ja ;Peinlich, zum fremdschämen;ja;ja;übersprungen;nein;22;Weiblich;Berufsausbildung
61;14.12.2023 19:18:00;14.12.2023 19:21:43;Direkter Link;ja;loster Idiot;nein;ja;ausdruck wenn man mit jemandem was anfangen würde/jemand attraktiv findet;ja;ja ;etwas ist fremdschämend/peinlich;nein;ja;verpeilt/neben der spur;ja;16;Weiblich;Realschulabschluss
62;14.12.2023 22:06:09;14.12.2023 22:11:27;empirio;nein;übersprungen;nein;ja;"""smash"" kommt aus dem englischsprachigen Raum und bedeutet quasi dass man etwas oder jemanden gut findet. Es wird häufig in Zusammenhang mit dem Gegenteil ""pass"" (etwas oder jemanden nicht gut finden) verwendet.";ja;ja ;"""cringe"" ist so etwas ähnliches wie (fremd)scham, wenn einem etwas für sich selbst oder auch andere Personen unangenehm ist.";ja;ja;"""lost"" ist man, wenn man laut übersetzter Wortbedutung in der aktuellen Situation verloren ist. Also wenn man ""auf dem Schlauch"" steht, irgendwas nicht ganz mitbekommt oder versteht.";nein;23;Weiblich;Allgemeine Hochschulreife
63;17.12.2023 16:18:26;17.12.2023 16:19:39;empirio;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;53;Weiblich;Berufsausbildung
64;17.12.2023 20:23:34;17.12.2023 20:28:43;empirio;nein;übersprungen;nein;nein;übersprungen;nein;ja ;Es beschreibt ein Gefühl der Peinlichkeit, das man empfindet, wenn man Zeuge von etwas besonders unangenehmen ist oder das Gefühl, das man bekommt, wenn man an eigene frühere Handlungen oder Aussagen denkt, die im Nachhinein als unangemessen oder peinlich empfunden werden (häufig auch aus zweiter Hand);ja;ja;lost wird oft benutzt, um auszudrücken, dass jemand ahnungslos, verwirrt oder nicht in der Lage ist, eine Situation angemessen zu verstehen oder darauf zu reagieren;ja;23;Weiblich;Fachhochschulreife
65;18.12.2023 08:56:59;18.12.2023 08:58:11;Direkter Link;ja;"Hurensohnnnnn
";nein;ja;Ja ;ja;ja ;Ja ;ja;ja;Bei fortnite;ja;88;Divers;Kein Abschluss
66;18.12.2023 08:57:37;18.12.2023 08:58:54;Direkter Link;ja;Komisch ;nein;ja;Wenn etwas gut aussieht;ja;ja ;Unangenehm komisch ;ja;ja;Verloren ;nein;99;Divers;Kein Abschluss
67;19.12.2023 09:47:25;19.12.2023 09:50:08;Direkter Link;nein;übersprungen;nein;ja;wenn etwas gut oder toll ist;nein;ja ;Komisch;ja;ja;Verloren, komisch;ja;15;Weiblich;Allgemeine Hochschulreife
